::1 - - [20/May/2024:09:33:11 +0000] "GET /api/v1/pr HTTP/1.1" 404 148 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [20/May/2024:09:33:43 +0000] "GET /api/v1/product HTTP/1.1" 200 26 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [20/May/2024:09:35:29 +0000] "POST /api/v1/product HTTP/1.1" 400 39 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [20/May/2024:09:36:01 +0000] "POST /api/v1/product HTTP/1.1" 400 39 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [20/May/2024:09:36:47 +0000] "POST /api/v1/product HTTP/1.1" 400 39 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [20/May/2024:09:36:57 +0000] "POST /api/v1/product HTTP/1.1" 400 39 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [20/May/2024:09:37:08 +0000] "POST /api/v1/product HTTP/1.1" 400 39 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [20/May/2024:09:37:43 +0000] "POST /api/v1/product HTTP/1.1" 400 39 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [20/May/2024:09:38:35 +0000] "POST /api/v1/product HTTP/1.1" 400 39 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [20/May/2024:09:40:22 +0000] "POST /api/v1/product HTTP/1.1" 400 39 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [20/May/2024:09:40:36 +0000] "GET /api/v1/product HTTP/1.1" 200 26 "-" "PostmanRuntime/7.37.3"
::1 - - [20/May/2024:09:40:40 +0000] "POST /api/v1/product HTTP/1.1" 400 45 "-" "PostmanRuntime/7.37.3"
::1 - - [20/May/2024:09:41:10 +0000] "POST /api/v1/product HTTP/1.1" 400 45 "-" "PostmanRuntime/7.37.3"
::1 - - [20/May/2024:09:41:24 +0000] "POST /api/v1/product HTTP/1.1" 400 45 "-" "PostmanRuntime/7.37.3"
::1 - - [20/May/2024:09:41:31 +0000] "POST /api/v1/product HTTP/1.1" 400 45 "-" "PostmanRuntime/7.37.3"
::1 - - [20/May/2024:09:42:03 +0000] "POST /api/v1/product HTTP/1.1" 201 368 "-" "PostmanRuntime/7.37.3"
::1 - - [20/May/2024:09:42:30 +0000] "GET /api/v1/product/664b1aebc6c41ec24efa23c5 HTTP/1.1" 200 327 "-" "PostmanRuntime/7.37.3"
::1 - - [20/May/2024:09:42:31 +0000] "GET /api/v1/product/664b1aebc6c41ec24efa23c5 HTTP/1.1" 200 327 "-" "PostmanRuntime/7.37.3"
::1 - - [20/May/2024:09:42:31 +0000] "GET /api/v1/product/664b1aebc6c41ec24efa23c5 HTTP/1.1" 200 327 "-" "PostmanRuntime/7.37.3"
::1 - - [20/May/2024:09:42:32 +0000] "GET /api/v1/product/664b1aebc6c41ec24efa23c5 HTTP/1.1" 200 327 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:47:50 +0000] "GET /api/v1/product/664b1aebc6c41ec24efa23c5 HTTP/1.1" 200 327 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:47:57 +0000] "GET /api/v1/product/664b1aebc6c41ec24efa23c5 HTTP/1.1" 200 327 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:47:58 +0000] "GET /api/v1/product/664b1aebc6c41ec24efa23c5 HTTP/1.1" 200 327 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:47:59 +0000] "GET /api/v1/product/664b1aebc6c41ec24efa23c5 HTTP/1.1" 200 327 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:48:00 +0000] "GET /api/v1/product/664b1aebc6c41ec24efa23c5 HTTP/1.1" 200 327 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:48:01 +0000] "GET /api/v1/product/664b1aebc6c41ec24efa23c5 HTTP/1.1" 200 327 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:48:12 +0000] "GET /api/v1/product HTTP/1.1" 200 329 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:50:45 +0000] "GET /api/v1/product HTTP/1.1" 500 104 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:52:00 +0000] "GET /api/v1/product HTTP/1.1" 200 329 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:52:03 +0000] "GET /api/v1/product HTTP/1.1" 200 305 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:52:05 +0000] "GET /api/v1/product HTTP/1.1" 200 305 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:52:06 +0000] "GET /api/v1/product HTTP/1.1" 200 305 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:52:07 +0000] "GET /api/v1/product HTTP/1.1" 200 305 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:52:08 +0000] "GET /api/v1/product HTTP/1.1" 200 305 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:52:08 +0000] "GET /api/v1/product HTTP/1.1" 200 305 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:52:09 +0000] "GET /api/v1/product HTTP/1.1" 200 305 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:52:12 +0000] "GET /api/v1/product HTTP/1.1" 200 305 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:52:13 +0000] "GET /api/v1/product HTTP/1.1" 200 305 "-" "PostmanRuntime/7.37.3"
::ffff:127.0.0.1 - - [20/May/2024:09:52:14 +0000] "GET /api/v1/product HTTP/1.1" 200 305 "-" "PostmanRuntime/7.37.3"
::ffff:172.20.0.8 - - [11/Jun/2024:04:28:46 +0000] "GET /api/v1/product HTTP/1.1" 500 69 "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.20.0.8 - - [11/Jun/2024:04:28:47 +0000] "GET /api/v1/product HTTP/1.1" 500 69 "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.20.0.8 - - [11/Jun/2024:04:28:49 +0000] "GET /api/v1/product HTTP/1.1" 500 69 "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.20.0.8 - - [11/Jun/2024:04:28:53 +0000] "GET /api/v1/product HTTP/1.1" 500 69 "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.21.0.8 - - [11/Jun/2024:04:34:27 +0000] "GET /api/v1/product HTTP/1.1" 200 26 "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.21.0.8 - - [11/Jun/2024:04:34:52 +0000] "GET /api/v1/product HTTP/1.1" 304 - "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.21.0.8 - - [11/Jun/2024:04:52:07 +0000] "POST /api/v1/product HTTP/1.1" 400 42 "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.21.0.8 - - [11/Jun/2024:04:53:42 +0000] "POST /api/v1/product HTTP/1.1" 201 800 "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.21.0.8 - - [11/Jun/2024:04:54:03 +0000] "GET /api/v1/product HTTP/1.1" 200 761 "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.21.0.8 - - [11/Jun/2024:04:56:51 +0000] "GET /api/v1/product HTTP/1.1" 200 737 "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.21.0.8 - - [11/Jun/2024:04:56:59 +0000] "GET /api/v1/product HTTP/1.1" 304 - "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.21.0.8 - - [11/Jun/2024:04:57:08 +0000] "GET /api/v1/product HTTP/1.1" 304 - "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::ffff:172.21.0.8 - - [11/Jun/2024:04:57:17 +0000] "GET /api/v1/product HTTP/1.1" 304 - "http://localhost:4000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
